model,bin_lo,bin_hi,n_samples,mean_confidence,actual_accuracy,gap
LSG,0.0,0.1,3,0.0866,0.3333,0.2468
LSG,0.1,0.2,46,0.1562,0.413,0.2568
LSG,0.2,0.3,83,0.2573,0.4699,0.2126
LSG,0.3,0.4,109,0.3495,0.5505,0.201
LSG,0.4,0.5,144,0.4512,0.4028,0.0485
LSG,0.5,0.6,183,0.5536,0.3934,0.1602
LSG,0.6,0.7,262,0.6524,0.4809,0.1715
LSG,0.7,0.8,406,0.7525,0.5961,0.1564
LSG,0.8,0.9,465,0.8467,0.6065,0.2403
LSG,0.9,1.0,99,0.9194,0.6364,0.2831
Baseline,0.3,0.4,1,0.3176,0.0,0.3176
Baseline,0.4,0.5,11,0.4583,0.4545,0.0038
Baseline,0.5,0.6,63,0.5606,0.619,0.0585
Baseline,0.6,0.7,267,0.6609,0.6142,0.0466
Baseline,0.7,0.8,801,0.755,0.568,0.1869
Baseline,0.8,0.9,636,0.8379,0.4638,0.3741
Baseline,0.9,1.0,20,0.9167,0.15,0.7667
